time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-27T17:34:38.440Z,19.431167602539,-155.25115966797,4.9499998092651,1.87,md,7,226,0.02006,0.180000007,hv,hv74543677,2024-11-27T17:36:03.190Z,"2 km SW of Volcano, Hawaii",earthquake,3.91,1.33000004,0.310000002,5,automatic,hv,hv
2024-11-27T17:34:27.830Z,19.388000488281,-155.24867248535,0.74000000953674,2.48000002,md,12,137,0.003512,0.230000004,hv,hv74543682,2024-11-27T17:37:14.250Z,"6 km SSW of Volcano, Hawaii",earthquake,0.43,0.280000001,0.239999995,9,automatic,hv,hv
2024-11-27T17:32:25.040Z,19.168167114258,-155.47450256348,32.139999389648,2.1500001,md,33,133,0.01727,0.140000001,hv,hv74543667,2024-11-27T17:33:55.490Z,"3 km S of Pāhala, Hawaii",earthquake,0.72,0.779999971,0.49000001,6,automatic,hv,hv
2024-11-27T17:31:02.553Z,37.3551,71.5185,112.55,4.7,mwr,118,82,1.939,0.61,us,us7000nuj7,2024-11-27T18:02:55.040Z,"15 km SSW of Khorugh, Tajikistan",earthquake,5.4,6.053,0.071,19,reviewed,us,us
2024-11-27T17:28:23.890Z,36.845500946045,-121.35849761963,5.1799998283386,1.1,md,6,198,0.1124,0.03,nc,nc75091676,2024-11-27T17:30:01.392Z,"4 km ESE of Hollister, CA",earthquake,0.74,2.88000011,0.04,4,automatic,nc,nc
2024-11-27T17:24:17.680Z,59.0878,-153.0911,67.7,2.1,ml,,,,0.27,ak,ak024f9cors8,2024-11-27T19:34:03.040Z,"73 km WSW of Nanwalek, Alaska",earthquake,,0.9,,,automatic,ak,ak
2024-11-27T17:22:53.761Z,31.109,-103.716,4.0829,1.7,ml,11,79,0.2,0.6,tx,tx2024xibx,2024-11-27T17:30:54.064Z,"14 km N of Balmorhea, Texas",earthquake,0,1.813460111618,0.2,8,automatic,tx,tx
2024-11-27T17:20:38.900Z,37.475833892822,-121.83233642578,6.9499998092651,1.63,md,13,75,0.02677,0.04,nc,nc75091661,2024-11-27T17:22:16.101Z,"8 km ENE of Milpitas, CA",earthquake,0.26,0.540000021,0.12,10,automatic,nc,nc
2024-11-27T17:16:28.610Z,38.789165496826,-122.76950073242,1.8500000238419,0.98,md,14,82,0.01376,0.03,nc,nc75091656,2024-11-27T17:18:06.095Z,"2 km NNW of The Geysers, CA",earthquake,0.3,0.529999971,0.24,14,automatic,nc,nc
2024-11-27T17:15:12.700Z,38.460498809815,-122.65100097656,2.0499999523163,1.46,md,11,70,0.0718,0.11,nc,nc75091651,2024-11-27T17:49:34.653Z,"5 km E of Santa Rosa, CA",earthquake,0.36,2.88000011,0.13,9,automatic,nc,nc
2024-11-27T16:56:34.200Z,19.187833786011,-155.48066711426,31.75,2.1500001,md,48,78,0.03671,0.129999995,hv,hv74543632,2024-11-27T16:58:31.690Z,"1 km S of Pāhala, Hawaii",earthquake,0.54,0.689999998,0.340000004,14,automatic,hv,hv
2024-11-27T16:56:21.696Z,61.4709,-147.1338,108.3,1.3,ml,,,,0.97,ak,ak024f9ca7eh,2024-11-27T16:58:20.559Z,"46 km SE of Glacier View, Alaska",earthquake,,1.8,,,automatic,ak,ak
2024-11-27T16:44:50.007Z,-24.1106,-67.0919,175.353,4.3,mb,26,101,2.503,0.89,us,us7000nuj2,2024-11-27T20:07:03.040Z,"79 km W of San Antonio de los Cobres, Argentina",earthquake,6.04,13.144,0.189,8,reviewed,us,us
2024-11-27T16:14:18.580Z,33.1558333,-115.963,9.2,1.14,ml,28,61,0.02152,0.17,ci,ci40988648,2024-11-27T17:49:08.729Z,"16 km E of Ocotillo Wells, CA",earthquake,0.22,0.52,0.057,11,reviewed,ci,ci
2024-11-27T16:13:59.773Z,63.2791,-151.9202,26.2,1.5,ml,,,,0.99,ak,ak024f9c12jt,2024-11-27T16:15:56.360Z,"30 km SSW of Denali National Park, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-11-27T15:59:18.111Z,-60.2725,-47.6045,10,5.2,mb,74,56,8.495,0.51,us,us7000nuix,2024-11-27T16:14:49.040Z,"Scotia Sea",earthquake,8.58,1.856,0.069,69,reviewed,us,us
2024-11-27T15:58:09.080Z,32.7485,-115.4978333,16.43,2.02,ml,22,114,0.07113,0.23,ci,ci40988624,2024-11-27T17:40:44.819Z,"4 km ENE of Heber, CA",earthquake,0.48,0.6,0.273,17,reviewed,ci,ci
2024-11-27T15:55:14.250Z,19.14999961853,-155.46583557129,31.360000610352,1.95,ml,51,166,0.006433,0.140000001,hv,hv74543557,2024-11-27T15:58:08.670Z,"6 km SSE of Pāhala, Hawaii",earthquake,0.5,0.639999986,0.75,6,automatic,hv,hv
2024-11-27T15:53:31.513Z,61.9168,-148.5505,18.7,1.1,ml,,,,0.67,ak,ak024f9bo5en,2024-11-27T15:55:10.131Z,"14 km NNW of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-11-27T15:51:59.670Z,46.287833333333,-122.21033333333,3.59,1.15,ml,21,101,0.01372,0.09,uw,uw62061671,2024-11-27T16:10:46.320Z,"30 km S of Morton, Washington",earthquake,0.23,0.48,0.2002829068236,14,reviewed,uw,uw
2024-11-27T15:49:35.000Z,38.813999176025,-122.79683685303,2.9700000286102,1.09,md,23,47,0.00614,0.02,nc,nc75091616,2024-11-27T16:07:14.957Z,"5 km NNW of The Geysers, CA",earthquake,0.24,0.449999988,0.13,21,automatic,nc,nc
2024-11-27T15:46:15.567Z,27.7484,52.3069,10,4.5,mb,86,62,4.474,0.58,us,us7000nuiu,2024-11-27T16:17:29.040Z,"60 km WNW of Mohr, Iran",earthquake,7.96,1.859,0.06,82,reviewed,us,us
2024-11-27T15:46:01.820Z,-14.4419,167.3887,183.737,4.5,mb,38,126,1.015,0.6,us,us7000nuir,2024-11-27T16:27:52.040Z,"65 km SSW of Sola, Vanuatu",earthquake,13.13,6.442,0.107,26,reviewed,us,us
2024-11-27T15:37:58.618Z,60.2044,-153.3983,158.8,2,ml,,,,0.38,ak,ak024f9bks1h,2024-11-27T15:40:08.572Z,"50 km E of Port Alsworth, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-11-27T15:32:53.599Z,36.9112,136.4369,10,4.3,mwr,49,53,1.466,0.66,us,us7000nuis,2024-11-27T16:22:29.040Z,"31 km W of Hakui, Japan",earthquake,6.48,1.876,0.078,16,reviewed,us,us
2024-11-27T15:32:23.626Z,24.0113,121.7273,43.625,4.6,mwr,57,68,0.729,0.82,us,us7000nuil,2024-11-27T19:56:42.307Z,"13 km ENE of Hualien City, Taiwan",earthquake,3.34,6.095,0.063,24,reviewed,us,us
2024-11-27T15:26:18.800Z,19.233499526977,-155.35716247559,28.110000610352,2.0999999,md,43,154,0.03832,0.170000002,hv,hv74543517,2024-11-27T15:28:13.280Z,"13 km ENE of Pāhala, Hawaii",earthquake,0.51,0.75,0.0399999991,3,automatic,hv,hv
2024-11-27T15:04:57.270Z,38.842834472656,-122.83183288574,1.3600000143051,0.63,md,13,112,0.00511,0.01,nc,nc75091551,2024-11-27T15:27:18.653Z,"10 km WNW of Cobb, CA",earthquake,0.29,0.629999995,0.22,13,automatic,nc,nc
2024-11-27T15:00:30.530Z,19.385499954224,-155.24833679199,1.8099999427795,2.11,ml,33,46,0.002807,0.370000005,hv,hv74543482,2024-11-27T15:03:23.790Z,"6 km SSW of Volcano, Hawaii",earthquake,0.38,0.289999992,0.37,17,automatic,hv,hv
2024-11-27T14:53:54.110Z,37.473999023438,-121.82933044434,6.8499999046326,1.87,md,34,42,0.02519,0.06,nc,nc75091531,2024-11-27T15:17:16.590Z,"9 km ENE of Milpitas, CA",earthquake,0.16,0.430000007,0.16,28,automatic,nc,nc
